word,count
شکنجه,966
شرف,966
",",966
(,966
ماله,965
SEHUN,965
میزنن,963
بری,963
),963
رسیدن,962
میرم,961
میدان,961
بابت,960
ي,959
#banbbcpersian,959
داره.,958
دقت,957
استقلال,956
اينكه,955
باهم,952
#لیلا_حاتمی,952
وضع,951
نماز,950
شماره,949
بالاخره,949
بزنم,948
شون,947
ممنون,946
میبینم,945
قدم,945
نشد,945
درسته,944
می‌شود,941
اومدم,941
پاسداران,941
ممکن,940
عراق,940
تهدید,940
طور,940
سن,939
الهی,938
سیگار,938
كرده,938
روح,938
برسه,937
شاد,936
خر,936
مقام,936
۹۶,935
خفه,935
هوای,933
میلیارد,933
سخن,932
دیکتاتور,932
عرزشی,932
طی,931
آمده,931
دیر,931
تصور,930
استان,929
کشتار,929
چیه؟,928
قدر,927
نکنه,926
ورود,926
ثبت,926
غرب,925
فلان,925
بالای,925
#حاتمی_کیا,925
بوی,923
شعر,922
دعوت,921
نشسته,921
فكر,921
گم,920
ضرب,920
بلد,919
کردند.,919
عضو,919
عزیزم,917
سطح,917
عین,915
قصد,914
دچار,913
گناه,910
برد,910
علت,910
واقع,908
مذهبی,908
جنایت,907
امریکا,906
جنسی,904
امکان,903
اند.,903
۱۲,902
بگید,902
اقتصاد,902
مانند,901
فاصله,901
بیست,901
باشند,901
می‌کنند,899
میدونم,897
جشن,897
شدید,896
مالی,895
بعدی,895
میخوای,894
هرکی,893
ش,893
وقتي,893
😂😂😂,892
#براندازیم,891
دختری,888
تبریک,888
مردان,888
وابسته,888
خوشحال,887
باشد.,886
فعالیت,886
طول,885
بارون,885
مراسم,885
گنابادی,885
ساخت,884
New,884
مسیر,884
آماده,884
میگیره,883
بگیر,883
طاهری,882
دایرکت,880
کیا,880
سرش,880
فرصت,880
فوری,879
کره,879
جشنواره,879
جنبش,879
داداش,877
!!,877
پرت,876
صفحه,875
می‌کند,875
بهانه,874
نور,872
بیت,872
افغانستان,872
بجای,870
کنه.,869
خواسته,869
حوزه,868
نیم,868
#Taheri_Movement,868
۲۲,867
بگی,867
فقیه,866
ینی,866
نمیکنه,866
کشیدن,865
خداوند,864
کیر,864
اشاره,862
گفتند,862
:))))),861
آسمان,860
جماعت,860
گوه,860
آدما,858
داشتیم,858
حالی,856
زودتر,854
معترض,854
سوار,854
ربطی,853
شان,853
ترک,851
رسید,850
فرهنگی,849
چیکار,849
ر,848
اسمش,847
اخه,847
ممکنه,847
ایم,846
كار,846
نقد,844
آزار,844
گلرخ,843
عجب,842
قبلا,842
ایرانیان,841
سرنگونی,840
ارزشی,839
احمد,838
گذشت,838
ساخته,838
عصر,838
آرامش,836
يكي,836
سنگ,836
بسیاری,835
خواهی,835
براتون,835
بزرگترین,835
موفق,834
راهپیمایی,834
قضیه,834
خودشان,833
جاسوس,833
توان,832
كنم,832
دولتی,832
پروژه,830
توئیت,829
تشکیل,829
کارگر,829
دستش,829
کشورهای,828
#أنقذوا_الغوطة,828
دیوار,825
قضاوت,824
چجوری,824
مسئول,824
#محمدعلی_طاهری,822
بدتر,820
عذرخواهی,819
دهد,818
لب,816
#نه_به_جمهوری_اسلامی,816
عرض,815
چهره,814
ندارند,814
کرد،,814
واکنش,813
اروپا,813
گردن,813
سوم,813
كرد,812
کافی,811
سخنرانی,810
برده,809
مبارک,809
اساس,809
#FreeThemAll,809
نداری,808
زنی,807
خلق,807
شدی,807
دعا,806
مربوط,806
تفاوت,806
😂😂,806
روسری,805
خواهان,805
بررسی,805
مونده,804
خودشو,804
#روحانی,803
شوخی,803
بهتره,800
اتهام,800
عجیب,800
کردید,799
شاهزاده,799
فرقی,798
سرم,797
نبوده,796
کشی,796
ندارد.,795
حاج,794
اتاق,793
۶,793
#آتنا_دائمی,792
مهندس,792
محترم,791
جلسه,791
دهن,790
اسد,790
ریاست,789
اعتراف,789
دستگاه,787
شماها,787
پیشرفت,786
دموکراسی,784
شکایت,784
ارتباط,784
#اللهم_عجل_لولیک_الفرج,784
دلت,783
بگیره,783
امور,782
انتقال,782
سرمایه,781
سردار,781
میشی,781
شدند.,781
عید,781
اوج,780
بابام,780
کرده.,780
موجود,778
نصف,778
کنم.,778
فرانسه,777
تعیین,777
نمایندگان,777
میخوره,776
طلبان,776
ذهن,776
رشته,776
زاده,776
میزنم,775
ساکت,775
رخ,775
چپ,775
ریپلای,775
برید,774
بیمارستان,772
هاى,772
عادی,772
مهدی,772
اتفاقا,771
کشیده,771
علاقه,771
جمعیت,770
حرفی,769
بشن,767
دلش,767
محسن,767
سرما,766
لینک,766
براندازی,766
اس,766
ماموران,763
دیکتاتوری,763
دانشجویان,763
كنيد,762
خاص,761
گاز,761
مطرح,760
دادند,759
روسیه,759
دینی,757
خواستار,757
صادق,757
مسئله,757
کراش,755
داخلی,755
بهشت,755
می‌کنه,755
نفت,755
مارو,755
متن,753
یارو,753
حبس,753
😁,752
گذاشتن,752
همینه,752
صلح,752
بخشی,752
راجع,751
مسائل,751
گفتی,750
فاطمه,749
کف,749
فعلا,747
بهتون,747
واقعیت,746
جمعی,745
عالم,745
رفع,745
هنر,745
شوند,745
سفره,745
لطف,744
بگن,744
وظیفه,744
کارت,744
احتمال,743
ملل,743
شاهد,742
مدیر,742
ترامپ,741
حجم,740
سالها,740
بسیجی,740
نمیتونم,739
تایید,739
پیگیری,739
شادی,739
ا,738
تحویل,737
نداشت,736
هرچه,736
گوشه,736
#ایران_فردا,736
|,734
#احمد_الحسن,733
طرفدار,733
نمونه,733
رسمی,733
خشک,733
خدایی,732
مغز,731
تمامی,731
نداره.,729
درون,728
داد.,728
بغل,727
باران,727
پیاده,727
کوچه,726
سلاح,726
راننده,725
رها,724
عربستان,724
چی؟,723
دریافت,723
روزها,722
لیست,722
خواهش,722
خیر,721
سبز,721
#دراویش_داعشی,720
میخوان,719
تاثیر,719
صبر,719
